Fanpage,Page_Id,Post_Id,Message,Type,Date,Reactions,Likes,Comments,Shares,Fans,Page,ER
European Commission,107898832590939,107898832590939_601003378731462,"?? #DYK that an estimated 30% of Ukraine's territory is contaminated with mines and unexploded munitions? This is why we launched a project to train and donate 5️⃣0️⃣ explosive and mine detection dogs to Ukrainian authorities; and 9️⃣ of them have already been paired with Ukrainian dog handlers. These furry heroes are trained to search for explosives inside and outside vehicles and buildings like hospitals, schools and factories, and even agricultural fields. The trainers include retired and active-duty police officers from ????, ????, ????, ????, and ???? who have broad experience in training mine detection and explosive detection dogs for securing public spaces. ?? We're proud to support this important contribution to making Ukraine a safer place for everyone. #EUsolidarity #MineAwarenessDay",photo,2023-04-04 09:30:00 UTC,1248,919,226,103,1400000,Facebook,0.089142857
European Commission,107898832590939,107898832590939_600951842069949,"The EU is everywhere around you. In bridges, metros, airports, high-speed trains, and so much more. Today we celebrate the 30th anniversary of the Cohesion Fund, which has invested nearly €179 billion in so many projects in our Union. Among many others, the Cohesion Fund has helped build the: ???? 12.3 km-long ‘Vasco da Gama’ bridge in Lisbon, the longest bridge in Europe ???? ???? airports of Tallin and Wroclaw ???? Madrid–Barcelona–French border high-speed line Do you know other projects funded by the Cohesion Fund in your region? Tell us about them! Europe in my region #EUFunds #EuropeanUnion",photo,2023-04-03 16:13:24 UTC,1672,1172,180,320,1400000,Facebook,0.119428571
European Commission,107898832590939,107898832590939_599235162241617,"???? ???????????????????????? ???????????????????????? ???? ???? ???? ???? ???? ???????????????????????? ???? ???? ???? ???? ???? ???? ???? ???? ???? ???? ???? ???????????????????????? ???????????????????????? ?????????????? ?????????? We've reached another significant achievement in our journey towards a brighter future! With last week's €6 billion payment to Spain, we've now disbursed over €150 billion to EU countries under the Recovery and Resilience Facility (RRF). In just over 2 years, the RRF has not only helped us recover from the pandemic, but also inspired confidence in investors, showing that our Union can rise to any challenge. Let's continue to work together for a more prosperous Europe with #NextGenerationEU. #EuropeanUnion #RRF",status,2023-04-03 09:30:00 UTC,1421,1107,221,93,1400000,Facebook,0.1015
European Commission,107898832590939,107898832590939_599263222238811,"We will continue to support efforts to make sure that Putin can be held accountable for the crime of aggression. To that end, we continue to support the creation of a dedicated tribunal, if that’s what it takes. We want justice for Ukraine and for Ukrainians. ↓ Speech by President von der Leyen on the 2022 Bucha massacre. #StandWithUkraine",video,2023-04-02 15:30:00 UTC,9198,5600,2964,634,1400000,Facebook,0.657
European Commission,107898832590939,107898832590939_599293122235821,"We should never forget the atrocities suffered by the people of Bucha last year. And those responsible for this horrific massacre. Yet, Russia has played its disinformation tactics to distance itself from the many bodies of Ukrainian civilians killed in gruesome executions: ?? Deny ?? Blame others ?? Confusing facts ?? Lie This attempt has failed. Multiple investigations – including a detailed UN report – have established Russian culpability. On #FactcheckingDay, we reaffirm our commitment to countering disinformation by setting the records straight.",photo,2023-04-02 10:30:00 UTC,2494,1616,739,139,1400000,Facebook,0.178142857
European Commission,107898832590939,107898832590939_598738722291261,"Drumroll, please! We're thrilled to announce that two European cities have taken home the prestigious Mobility Award and Mobility Action Award for innovative mobility for their outstanding commitment to green transportation! ?? ??Braga ???? won the European Mobility Week 2022 Award for its outstanding activities in favour of green mobility, ??Metropolia GZM ???? won for the very first edition of the Mobility Action Award for innovative mobility solutions proposed by a local university. A special mention to Chernihiv, Kamianets-Podilskiy, Lviv, Poltava and Uzhhorod, the ???? Ukrainian cities that organised sustainable mobility awareness raising activities, despite the full-scale Russian aggression. Providing towns and cities with an opportunity to try out innovative traffic and transport planning is key to raise awareness on sustainable mobility. Congratulations to all finalists and winners! #EuropeanUnion #MobilityAwards #SustainableMobility",photo,2023-04-01 16:00:01 UTC,822,670,103,49,1400000,Facebook,0.058714286
European Commission,107898832590939,107898832590939_599277812237352,"Equal work deserves equal pay. And for equal pay, you need transparency. This is particularly important for women, who still earn less than men for the same work. That is why we proposed new EU rules on pay transparency that got European Parliament's approval this week. They introduce an obligation for employers to be transparent about pay levels in the job vacancies or before a job interview. Employees will also have the right to request information on average pay levels, broken down by gender, for workers doing the same job. This is another step towards a #UnionOfEquality. #PayTransparency",photo,2023-04-01 10:30:00 UTC,918,696,137,85,1400000,Facebook,0.065571429
European Commission,107898832590939,107898832590939_599232088908591,"Bucha has witnessed some of the darkest pages of history. Russia must be held accountable. For its brutal aggression. For its cold-blooded killings. For its heinous devastations. We stand with the victims of these atrocities, we #StandWithUkraine ??© Getty Images",photo,2023-03-31 16:18:24 UTC,5301,3384,1354,563,1400000,Facebook,0.378642857
European Commission,107898832590939,107898832590939_599158622249271,What happened in Bucha one year ago was not an isolated episode. Those executions in cold blood were part of a bigger plan. The Kremlin's plan to eliminate Ukrainians. Their national identity. Their sense of being. War criminals will be held accountable. #StandWithUkraine,video,2023-03-31 13:28:41 UTC,7619,4109,2024,1486,1400000,Facebook,0.544214286
European Commission,107898832590939,107898832590939_612927524032935,Our relationship with China is one of the most intricate and important. How we manage it will be a determining factor for our future economic prosperity and national security ↓ Speech by President von der Leyen on EU-China relations to the Mercator Institute for China Studies and the European Policy Centre,video,2023-03-30 12:05:23 UTC,4128,2298,1456,374,1400000,Facebook,0.294857143
